nivel,provincia,codigo,nombre,hogares,propia,escritura,boleto,otra_doc,sin_doc,alquilada,cedida_trabajo,prestada,otra
comuna,Ciudad Autónoma de Buenos Aires,02035,Comuna 5,93208,45306,42795,991,1171,349,38458,1440,4507,3497
comuna,Ciudad Autónoma de Buenos Aires,02042,Comuna 6,95464,52388,50047,897,1058,386,33671,1906,4336,3163
comuna,Ciudad Autónoma de Buenos Aires,02049,Comuna 7,90970,50545,45861,1745,1700,1239,30905,1254,4394,3872
comuna,Ciudad Autónoma de Buenos Aires,02056,Comuna 8,70622,44057,25991,4783,3928,9355,18167,399,3808,4191
comuna,Ciudad Autónoma de Buenos Aires,02063,Comuna 9,66753,39080,34543,1185,1581,1771,19993,315,3787,3578
comuna,Ciudad Autónoma de Buenos Aires,02070,Comuna 10,73964,43337,40611,840,1325,561,22851,511,3937,3328
comuna,Ciudad Autónoma de Buenos Aires,02077,Comuna 11,87910,53174,50363,928,1322,561,25651,764,4422,3899
comuna,Ciudad Autónoma de Buenos Aires,02084,Comuna 12,108085,60488,56868,1436,1681,503,36679,1145,5319,4454
comuna,Ciudad Autónoma de Buenos Aires,02091,Comuna 13,127241,69509,66706,1163,1252,388,44684,2882,5995,4171
comuna,Ciudad Autónoma de Buenos Aires,02098,Comuna 14,127733,61944,59425,899,1167,453,51632,3673,6192,4292
comuna,Ciudad Autónoma de Buenos Aires,02105,Comuna 15,90717,48071,44241,1289,1570,971,33154,1114,4421,3957
agregado,Buenos Aires,24P,24 partidos de Buenos Aires,3614245,2475212,1479217,488472,195016,312507,650756,15321,225859,247097
agregado,Buenos Aires,31P,31 partidos de Buenos Aires,3974745,2735146,1597320,570115,222580,345131,707502,18530,247372,266195
partido,Buenos Aires,06028,Almirante Brown,187107,137051,75390,33572,11282,16807,23223,642,12344,13847
partido,Buenos Aires,06035,Avellaneda,134851,86218,61050,7683,7658,9827,30700,601,7515,9817
partido,Buenos Aires,06091,Berazategui,116419,82696,50386,18206,6262,7842,16589,524,7977,8633
partido,Buenos Aires,06260,Esteban Echeverría,108363,76618,41600,17970,6031,11017,17894,358,6818,6675
partido,Buenos Aires,06270,Ezeiza,62802,45882,18874,15838,5370,5800,9168,351,3585,3816
partido,Buenos Aires,06274,Florencio Varela,146253,107862,45493,33851,10252,18266,15289,691,11436,10975
partido,Buenos Aires,06371,General San Martín,161480,103525,72399,10164,8178,12784,38613,622,8551,10169
partido,Buenos Aires,06408,Hurlingham,63547,42494,31590,4460,3151,3293,11195,227,4484,5147
partido,Buenos Aires,06410,Ituzaingó,62587,44797,34511,5729,2634,1923,8998,214,3935,4643
partido,Buenos Aires,06412,José C. Paz,98119,71671,28919,24324,7158,11270,12394,359,6880,6815
partido,Buenos Aires,06427,La Matanza,576586,390055,204676,94444,28429,62506,105601,2001,38884,40045
partido,Buenos Aires,06434,Lanús,167953,110574,77302,10877,8909,13486,35247,521,9297,12314
partido,Buenos Aires,06490,Lomas de Zamora,234615,164613,96808,25750,14433,27622,40648,755,13327,15272
partido,Buenos Aires,06515,Malvinas Argentinas,107589,74526,41611,19991,5348,7576,16261,433,8017,8352
partido,Buenos Aires,06539,Merlo,182654,132148,62870,43682,10084,15512,23915,636,12725,13230
